column,n_total,n_non_null,pct_non_null,n_null,pct_null
subjectid,457,457,100.0,0,0.0
casestart,457,457,100.0,0,0.0
caseend,457,457,100.0,0,0.0
anestart,457,457,100.0,0,0.0
aneend,457,457,100.0,0,0.0
opstart,457,457,100.0,0,0.0
opend,457,457,100.0,0,0.0
adm,457,457,100.0,0,0.0
dis,457,457,100.0,0,0.0
icu_days,457,457,100.0,0,0.0
death_inhosp,457,457,100.0,0,0.0
age,457,457,100.0,0,0.0
sex,457,457,100.0,0,0.0
height,457,457,100.0,0,0.0
weight,457,457,100.0,0,0.0
bmi,457,457,100.0,0,0.0
asa,457,446,97.59,11,2.41
emop,457,457,100.0,0,0.0
department,457,457,100.0,0,0.0
optype,457,457,100.0,0,0.0
dx,457,457,100.0,0,0.0
opname,457,457,100.0,0,0.0
approach,457,457,100.0,0,0.0
position,457,442,96.72,15,3.28
ane_type,457,457,100.0,0,0.0
preop_htn,457,457,100.0,0,0.0
preop_dm,457,457,100.0,0,0.0
preop_ecg,457,457,100.0,0,0.0
preop_pft,457,457,100.0,0,0.0
preop_hb,457,431,94.31,26,5.69
preop_plt,457,432,94.53,25,5.47
preop_pt,457,431,94.31,26,5.69
preop_aptt,457,431,94.31,26,5.69
preop_na,457,411,89.93,46,10.07
preop_k,457,411,89.93,46,10.07
preop_gluc,457,431,94.31,26,5.69
preop_alb,457,434,94.97,23,5.03
preop_ast,457,432,94.53,25,5.47
preop_alt,457,431,94.31,26,5.69
preop_bun,457,430,94.09,27,5.91
preop_cr,457,432,94.53,25,5.47
cormack,457,394,86.21,63,13.79
airway,457,434,94.97,23,5.03
tubesize,457,457,100.0,0,0.0
iv1,457,450,98.47,7,1.53
aline1,457,337,73.74,120,26.26
intraop_ebl,457,457,100.0,0,0.0
intraop_uo,457,457,100.0,0,0.0
intraop_rbc,457,457,100.0,0,0.0
intraop_ffp,457,457,100.0,0,0.0
intraop_crystalloid,457,435,95.19,22,4.81
intraop_colloid,457,457,100.0,0,0.0
intraop_ppf,457,457,100.0,0,0.0
intraop_mdz,457,457,100.0,0,0.0
intraop_ftn,457,457,100.0,0,0.0
intraop_rocu,457,457,100.0,0,0.0
intraop_vecu,457,457,100.0,0,0.0
intraop_eph,457,457,100.0,0,0.0
intraop_phe,457,457,100.0,0,0.0
intraop_epi,457,457,100.0,0,0.0
intraop_ca,457,457,100.0,0,0.0
lab_alb,457,408,89.28,49,10.72
lab_alt,457,408,89.28,49,10.72
lab_aptt,457,372,81.4,85,18.6
lab_ast,457,408,89.28,49,10.72
lab_bun,457,409,89.5,48,10.5
lab_cl,457,414,90.59,43,9.41
lab_cr,457,409,89.5,48,10.5
lab_crp,457,389,85.12,68,14.88
lab_fib,457,457,100.0,0,0.0
lab_gfr,457,409,89.5,48,10.5
lab_gluc,457,408,89.28,49,10.72
lab_hb,457,416,91.03,41,8.97
lab_hco3,457,457,100.0,0,0.0
lab_hct,457,427,93.44,30,6.56
lab_ica,457,457,100.0,0,0.0
lab_k,457,423,92.56,34,7.44
lab_lac,457,457,100.0,0,0.0
lab_na,457,423,92.56,34,7.44
lab_pco2,457,457,100.0,0,0.0
lab_ph,457,457,100.0,0,0.0
lab_plt,457,416,91.03,41,8.97
lab_po2,457,457,100.0,0,0.0
lab_pt%,457,373,81.62,84,18.38
lab_ptinr,457,373,81.62,84,18.38
lab_ptsec,457,373,81.62,84,18.38
lab_sao2,457,457,100.0,0,0.0
lab_tbil,457,408,89.28,49,10.72
lab_tprot,457,408,89.28,49,10.72
lab_wbc,457,416,91.03,41,8.97
dominant_rhythm,457,457,100.0,0,0.0
tubesize_was_imputed,457,457,100.0,0,0.0
intraop_ebl_was_imputed,457,457,100.0,0,0.0
intraop_uo_was_imputed,457,457,100.0,0,0.0
lab_fib_was_imputed,457,457,100.0,0,0.0
lab_hco3_was_imputed,457,457,100.0,0,0.0
lab_ica_was_imputed,457,457,100.0,0,0.0
lab_lac_was_imputed,457,457,100.0,0,0.0
lab_pco2_was_imputed,457,457,100.0,0,0.0
lab_ph_was_imputed,457,457,100.0,0,0.0
lab_po2_was_imputed,457,457,100.0,0,0.0
lab_sao2_was_imputed,457,457,100.0,0,0.0
