Variable,Missing (n),Missing (%),Complete (n)
episode_rr_cv,473,36.8,811
preop_na,219,17.1,1065
preop_k,219,17.1,1065
map_dur_mean,198,15.4,1086
map_dur_min,198,15.4,1086
map_dur_std,198,15.4,1086
map_dur_slope,198,15.4,1086
preop_cr,177,13.8,1107
preop_alb,172,13.4,1112
preop_hb,167,13.0,1117
preop_plt,162,12.6,1122
asa,121,9.4,1163
spo2_dur_mean,97,7.6,1187
spo2_dur_std,97,7.6,1187
spo2_dur_min,97,7.6,1187
spo2_dur_slope,97,7.6,1187
bmi,88,6.9,1196
age,88,6.9,1196
hr_dur_std,89,6.9,1195
hr_dur_mean,89,6.9,1195
hr_dur_slope,89,6.9,1195
hr_dur_min,89,6.9,1195
preop_htn,88,6.9,1196
preop_dm,88,6.9,1196
episode_beat_count,0,0.0,1284
episode_duration_sec,0,0.0,1284
first_episode_start_sec,0,0.0,1284
total_episode_count,0,0.0,1284
total_arrhythmia_burden_sec,0,0.0,1284
longest_episode_duration_sec,0,0.0,1284
